26.5 10 102.3 100 2 1 0 0 0 0 0 3 5.2 1 0 2 6 2 39.8 75.5 2 32.1 90
12.8 60 107.5 95 3 0 1 0 0 0 0 1 11 0 2.5 2 7 2 45 100 2 19.5 62
18.8 22.5 105 105 2 1 0 1 0 0 0 1 1.4 1 6 3 7 2 33.4 82.5 2 42.9 49
26 17.5 105 100 3 1 0 0 0 0 0 4 9.9 1 3.3 2 7 2 56.1 74.8 2 16.2 67
5 20 107 103 1 0 1 0 0 0 0 3 7.2 0 0 2 7 2 46.4 74.6 2 19.1 44
19.5 55 100 110 3 0 1 0 0 0 0 1 8.2 0 5 2 6 2 52 73.3 1 50.7 50
15.6 71.4 105.3 101 3 1 0 0 0 0 0 3 8.2 1 12.1 2 7 2 50.4 98.8 2 38.5 58
22.2 75 105 103.3 3 1 0 0 0 0 0 3 11.9 1 7 2 7 2 81.6 71.5 2 35.8 50
7.3 57.5 102.3 97.3 1 0 0 0 0 0 0 4 17.7 0 7.3 1 8 1 30.9 41.3 1 32.4 63
25.3 47.3 100 100 3 1 0 0 0 0 0 3 3.3 1 16.5 2 7 3 64.7 89 3 15.4 60
12.8 80 111 105.3 1 1 0 1 0 0 1 3 6.6 1 2.8 2 7 2 58.7 89 2 22.1 45
59.5 37.3 101.8 90 3 1 0 0 0 0 0 4 3 1 8.7 2 6 2 53.6 103.7 3 27.2 50
23.3 18.8 106.1 87.8 3 1 0 0 0 0 0 3 12.2 1 8.7 3 7 2 53.1 86.5 2 34.5 0
14.8 35 100.5 102 3 1 0 1 0 0 1 4 9.9 1 0 3 6 2 40.7 88.8 3 23.5 90
8.6 8.3 101.3 98 2 0 1 0 0 0 0 4 5.4 0 0.5 2 7 2 39.8 92.3 2 14.3 70
12.8 -21.2 100 100 1 0 1 0 0 0 0 2 4.9 0 5.3 2 6 2 54.7 96.3 2 18.6 90
12.3 85 121.3 125 1 1 0 0 1 0 0 2 20.8 1 45 1 6 2 40.2 61.5 2 19.5 0
15.6 22 103 90 2 1 0 0 0 0 0 4 8.1 1 9.1 1 7 3 36 69.9 3 22.7 52
5.2 71.3 104.5 103.8 1 0 1 0 0 0 0 4 5.9 0 4.2 2 6 2 78.7 60.9 1 20 60
24.8 10 100 86 3 0 1 0 0 0 0 1 2.8 0 5 2 7 2 41.7 94 2 35.6 95
75 85 125 125 3 1 0 0 0 0 1 1 13.8 1 0 3 7 3 40.6 105.5 1 66.8 10
11.3 57.5 102.3 97 1 0 0 0 0 0 0 4 7.8 0 0 1 6 2 23.7 80.4 3 26.6 0
14 69.8 99.5 103 2 1 0 0 0 0 1 2 3.7 1 9 2 5 2 52.4 98.3 2 28 53
26 35 105 100 3 1 0 0 0 0 0 1 3.6 1 3 3 6 2 36.5 80 2 24.6 75
7.1 85 125 125 2 1 0 0 0 0 0 2 6.2 0 25 2 3 3 68.5 98.8 3 33.1 64
34 5 102.8 100.3 3 1 0 0 0 0 0 2 2.6 1 0 2 7 2 47.6 92.3 2 20 90
16.8 2.5 100.8 100.3 2 0 1 0 0 0 0 3 23.2 0 1.3 2 8 2 77.6 55.3 2 39.6 20
17.3 35 115 100 3 1 0 0 0 0 0 4 11 1 10 2 7 2 34.2 84.8 3 17.7 65
43.8 55 108.5 109 3 1 0 0 1 0 0 3 8.3 1 26.3 3 6 3 56.2 109 1 10.6 80
18 47.5 110 100 2 1 0 0 0 0 0 2 7 1 0 2 6 2 33.9 67 2 11.8 70
11 -8.7 105 105.5 2 1 0 0 0 0 0 2 21.2 1 68.8 2 7 1 52.4 67.5 2 23.7 47
9.8 -25 100 125 1 0 0 0 0 0 0 3 2.9 0 0 2 3 2 79.9 108.8 1 28.7 40
27 32 103.3 108 2 1 0 0 0 0 0 4 10.4 1 8.7 3 7 2 42 89.5 2 22.1 63
16.5 9.3 105.3 100 3 1 0 1 0 0 1 3 24.9 1 7 3 7 2 34.7 66.8 2 15.7 25
15.5 -10 100 100 1 0 1 0 0 0 0 2 7.9 0 21.3 2 6 1 50 90.5 2 18.1 70
9.5 -18.7 95 110 1 0 1 0 0 0 0 3 8.5 0 5 1 6 2 50.5 66.8 1 13.7 0
75 85 110 105 3 1 0 0 1 0 0 1 5 1 34.3 3 6 3 49.5 109 2 14.5 75
11.5 5 106.5 106.5 3 0 1 0 0 0 0 4 6.2 0 0 2 6 2 63.1 60.8 2 16.6 0
18.5 0 100 101.8 3 0 0 0 0 0 0 1 3.2 0 0 3 2 2 34.8 93.5 2 69.9 40
7.8 85 102 100 2 0 0 0 0 0 0 1 7.2 0 70 2 2 1 27.1 40.3 1 13.9 0
10.6 55.8 100 102 2 0 1 0 0 0 0 3 14.7 0 15 1 4 1 43.2 100.6 2 31.6 75
11.5 -5 100 100 3 0 0 0 0 0 0 2 1.1 0 3.3 2 6 2 36.6 56.3 2 21 80
22.3 10 100.3 100 3 1 0 1 0 0 0 3 4.2 1 3.8 3 6 2 52.7 93.5 2 17.7 60
24.6 25 102.3 102 2 1 0 0 0 0 0 3 8 1 9.1 3 6 3 32.1 64.9 2 34.9 78
14 10 100 107 1 1 0 0 1 0 0 1 4.5 1 10 2 3 2 53.3 98.5 2 15.6 90
16.8 57.5 104 103.8 3 1 0 0 0 0 0 2 4.2 1 1 2 3 2 45.4 83.3 3 20.2 80
75 85 106 100 2 1 0 0 0 0 0 1 5.4 1 1.5 2 7 2 52.6 57.8 2 43.2 60
15.5 13 105 107 3 1 0 1 0 0 0 3 10.1 1 0 2 7 2 35.6 81.1 3 18.7 85
31.3 0 101.3 100 2 0 1 0 0 0 0 1 3.1 0 0 1 6 2 43.9 103 2 20.2 50
13.5 17.5 100 100 2 1 0 1 0 0 0 2 7.4 1 25.5 3 6 2 54.5 56 2 22.7 0
59.3 72.5 108.5 100 2 1 0 1 0 0 0 2 11.1 1 0 2 7 2 53 94 1 35.2 70
10 0 101 102 2 0 0 0 0 0 0 4 2.2 0 4.3 2 7 1 49.1 80 2 19.5 80
59.5 50 125 125 3 1 0 1 0 0 0 2 3.8 1 1.4 2 6 3 58.7 92.5 1 140 50
20.4 5 104.3 100 2 1 0 0 0 0 1 2 9.9 1 0 2 6 2 65.2 54.7 1 14.4 40
26.3 1.3 101 105 2 0 1 0 0 0 0 2 2.2 0 0.3 2 6 2 31.7 73.5 3 61.8 0
32.8 0 103.8 100 2 1 0 1 0 0 0 2 7.2 1 0 2 7 2 64.4 92.3 2 38.1 75
2.1 30 100 100 1 0 1 0 0 0 0 5 12.2 0 0 1 6 1 37.1 49 2 18.4 35
75 85 100 95 3 1 0 1 0 0 1 1 4.5 1 30 2 1 2 58.8 80.4 2 16.9 70
1.8 55 108 100 3 1 0 1 0 0 0 4 7.5 1 5 2 7 1 49.2 96.5 2 16.2 90
24 70 110 100 3 1 0 1 0 0 0 2 9.7 1 10.8 1 7 3 64 70.8 3 28.6 63
72.8 85 110 90 3 1 0 0 1 0 1 2 5.3 1 8.3 3 7 3 51.4 86.8 3 22.1 50
9.5 0 100 100 3 0 1 0 0 0 0 3 9.7 0 5.5 3 7 1 46.4 89.5 2 24.7 70
38.8 21.5 106.8 102.8 2 0 1 0 0 0 0 1 5.7 0 0 2 6 2 57.2 101.5 2 21.1 0
27.6 35.5 100.9 100.5 2 1 0 0 0 0 0 3 6.5 1 10.7 3 7 2 41.1 66.4 2 22 56
10 50 100 116.3 1 0 1 0 0 0 0 1 4.7 0 13.8 1 6 2 40.9 110 2 10 43
73.8 78.8 97.8 97.8 2 1 0 0 0 0 0 1 1.4 1 3.1 3 5 3 59.3 110 2 31.6 98
75 36.3 99.3 100 3 1 0 0 0 0 0 1 4.8 1 0 2 6 3 31.7 77 2 22.1 50
15 70 105 98 3 0 1 0 0 0 0 3 13 0 10 2 7 2 39.7 48 1 15.3 70
33.8 0 100 100 2 0 1 0 0 0 0 1 1 0 0 2 2 2 53.9 79.2 2 24.6 80
15.3 0 100 90 2 1 0 0 0 0 0 1 2.6 1 0 2 2 3 20 100.8 2 60.3 50
23 82.5 115 125 2 0 1 0 0 0 0 3 7.2 0 5 2 6 2 69.3 78.3 2 18.1 45
36.7 70 105 97.1 2 1 0 0 0 0 1 4 4.1 1 0 2 7 2 46.9 87.3 2 54.1 0
4.2 5 106.3 115 1 0 1 0 0 0 0 2 2.8 0 20 1 6 1 62.4 81.8 1 20.5 80
21.9 50 105 97 2 1 0 0 0 0 1 2 4.4 1 7.5 2 7 2 46.7 90.8 2 50.9 0
21.8 44.5 103.8 125 2 1 0 0 0 0 0 2 5.2 1 11.3 2 6 2 41 98.5 2 21.1 60
14.5 30 106.3 100 2 1 0 0 0 0 0 3 13.1 1 0.3 2 6 2 66.8 75.5 2 51.4 50
19.6 13.8 108.3 117.5 2 0 1 0 0 0 0 3 11.7 0 4.5 3 6 1 48.1 62.3 2 27 70
2.3 6.3 101.3 101.3 1 0 0 0 0 0 0 3 18.8 0 0 2 6 1 62.5 51 2 10 63
7.5 30 100 100 2 1 0 0 0 0 0 4 7.7 1 15.9 2 7 1 47.7 79.5 2 26.4 25
12.5 24 100 100.5 1 0 1 0 0 0 0 2 6.4 0 0 2 6 2 37.1 87.5 2 18.3 60
